address;source_location;insn;indent
0x12b4;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:4;JE	1277 <splat+0x47>;
0x12b6;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:5;MOV	0x8(%RDI),%R8D;
0x12ba;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:5;MOV	%EDX,%ESI;
0x12bc;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:5;LEA	(,%RSI,4),%R9;
0x12c4;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:5;MOV	%R8D,(%RAX,%RSI,4);
0x12c8;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:4;LEA	0x1(%RDX),%ESI;
0x12cb;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:4;CMP	%ESI,%ECX;
0x12cd;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:4;JLE	1277 <splat+0x47>;
0x12cf;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:4;ADD	$0x2,%EDX;
0x12d2;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:5;MOV	%R8D,0x4(%RAX,%R9,1);
0x12d7;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:4;CMP	%EDX,%ECX;
0x12d9;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:4;JLE	1277 <splat+0x47>;
0x12db;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:5;MOV	0x8(%RDI),%EDX;
0x12de;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:5;MOV	%EDX,0x8(%RAX,%R9,1);
0x12e3;/home/lisataldir/Documents/M1CHPS/M1CHPS-Stage-MAQAO/asm/src/splat.c:4;RET;
